Year,State,Top10_adj,Top5_adj,Top1_adj,Top05_adj,Top01_adj,Top001_adj
1924,Kentucky,39.16,31.86,15.10,11.23,5.29,1.53
1924,Louisiana,43.04,32.97,15.36,11.13,5.12,1.40
1924,Maine,40.23,29.49,14.96,11.26,5.50,1.68
1924,Maryland,52.26,37.49,20.07,15.10,7.03,2.12
1924,Massachusetts,45.71,34.63,20.51,15.49,7.39,2.14
1924,Michigan,37.85,27.24,15.02,11.85,6.46,2.78
1924,Minnesota,38.87,27.93,13.63,10.48,5.37,1.55
1924,Mississippi,29.07,23.86,12.51,8.78,4.24,1.45
1924,Missouri,44.69,32.64,16.82,12.64,5.96,1.69
1924,Montana,35.31,22.16,8.30,5.84,2.71,0.81
1924,Nebraska,36.93,25.67,11.00,7.74,3.30,0.89
1924,Nevada,34.90,21.97,8.08,5.49,2.53,0.61
1924,New Hampshire,38.70,27.49,13.55,10.01,4.69,1.38
1924,New Jersey,46.89,34.01,18.25,13.64,6.65,2.20
1924,New Mexico,42.45,33.44,13.04,8.62,3.63,0.95
1924,New York,49.75,38.22,23.60,18.35,9.67,3.58
1924,North Carolina,32.51,26.09,12.56,9.31,4.84,1.76
1924,North Dakota,33.59,25.27,9.31,6.05,2.38,0.64
1924,Ohio,41.40,29.89,15.72,11.93,5.89,2.00
1924,Oklahoma,42.28,34.33,15.86,11.82,5.72,1.84
1924,Oregon,34.19,23.20,10.49,7.47,3.20,0.75
1924,Pennsylvania,40.30,29.60,16.94,13.07,6.64,2.24
1924,Rhode Island,43.64,32.55,19.36,15.03,7.52,2.58
1924,South Carolina,30.67,25.53,12.06,8.39,3.73,0.97
1924,South Dakota,30.77,20.28,7.33,4.79,1.91,0.50
1924,Tennessee,42.09,34.58,16.41,12.12,5.53,1.45
1924,Texas,45.91,33.62,14.92,10.73,5.04,1.47
1924,Utah,35.12,23.74,9.90,6.92,2.75,0.56
1924,Vermont,39.36,28.25,13.52,10.00,4.82,1.58
1924,Virginia,41.48,32.58,14.69,10.79,4.98,1.48
1924,Washington,35.43,22.85,9.13,6.36,2.78,0.74
1924,West Virginia,34.40,24.11,10.85,8.11,3.90,1.09
1924,Wisconsin,35.77,25.43,12.53,9.32,4.46,1.30
1924,Wyoming,25.84,16.49,6.58,4.58,1.90,0.59
1925,United States,46.35,35.01,20.24,15.86,8.52,3.31
1925,Alabama,34.22,26.51,16.15,11.86,5.44,1.46
1925,Arizona,42.56,32.70,14.55,10.21,4.83,1.60
1925,Arkansas,29.12,21.56,12.74,9.30,4.42,1.37
1925,California,44.23,30.84,16.68,12.39,5.93,1.92
1925,Colorado,43.51,31.92,16.35,12.36,6.08,1.96
1925,Connecticut,49.46,36.63,21.84,16.75,8.23,2.43
1925,Delaware,68.56,53.72,36.31,30.17,16.88,5.19
1925,District of Columbia,56.45,39.67,22.32,16.74,8.03,2.38
1925,Florida,36.38,27.09,13.78,9.75,4.36,1.47
1925,Georgia,39.28,31.42,18.40,13.92,6.76,2.04
1925,Idaho,30.45,21.39,8.12,5.32,1.94,0.39
1925,Illinois,47.40,34.45,19.74,15.12,7.89,2.94
1925,Indiana,38.08,29.40,15.58,12.00,6.24,2.40
1925,Iowa,34.26,26.55,13.56,10.00,4.86,1.68
1925,Kansas,36.81,29.02,14.49,10.67,5.18,1.70
1925,Kentucky,37.92,30.10,17.20,12.85,5.98,1.73
1925,Louisiana,40.85,32.57,16.46,12.10,5.87,1.59
1925,Maine,41.82,33.24,19.02,14.77,7.89,2.90
1925,Maryland,58.79,42.67,24.57,18.87,9.71,3.56
1925,Massachusetts,49.40,36.42,22.81,17.77,9.27,3.36
1925,Michigan,41.07,30.45,18.16,14.65,8.52,3.86
1925,Minnesota,40.03,30.12,15.20,11.74,5.98,1.72
1925,Mississippi,28.31,20.77,13.06,9.34,4.20,1.05
1925,Missouri,44.10,34.26,19.25,14.91,7.79,2.91
1925,Montana,42.52,30.05,12.05,8.60,3.92,1.27
1925,Nebraska,37.90,28.78,13.32,9.52,4.30,1.48
