Year,Stage,Host-Country,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,MatchID
1982,Group 6,Spain,Soviet Union,2,2,Scotland,,1071
1982,Group 1,Spain,Italy,1,1,Cameroon,,828
1982,Group 3,Spain,Argentina,2,0,El Salvador,,751
1982,Group 6,Spain,Brazil,4,0,New Zealand,,789
1982,Group 2,Spain,Algeria,3,2,Chile,,740
1982,Group 4,Spain,France,1,1,Czechoslovakia,,922
1982,Group 5,Spain,Honduras,0,1,Yugoslavia,,962
1982,Group 2,Spain,Germany FR,1,0,Austria,,770
1982,Group 4,Spain,England,1,0,Kuwait,,882
1982,Group 5,Spain,Northern Ireland,1,0,Spain,,902
1982,Group 4,Spain,Austria,0,1,France,,767
1982,Group 1,Spain,Poland,3,0,Belgium,,782
1982,Group 3,Spain,Italy,2,1,Argentina,,753
1982,Group 2,Spain,Germany FR,0,0,England,,879
1982,Group 4,Spain,Austria,2,2,Northern Ireland,,771
1982,Group 1,Spain,Belgium,0,1,Soviet Union,,783
1982,Group 3,Spain,Argentina,1,3,Brazil,,750
1982,Group 2,Spain,Germany FR,2,1,Spain,,900
1982,Group 4,Spain,France,4,1,Northern Ireland,,920
1982,Group 1,Spain,Poland,0,0,Soviet Union,,1058
1982,Group 3,Spain,Italy,3,2,Brazil,,788
1982,Group 2,Spain,Spain,0,0,England,,877
1982,Semi-finals,Spain,Poland,0,2,Italy,,996
1982,Semi-finals,Spain,Germany FR,3,3,France,win on penalties (5 - 4),914
1982,Match for third place,Spain,Poland,3,2,France,,921
1982,Final,Spain,Italy,3,1,Germany FR,,923
1986,Group A,Mexico City,Bulgaria,1,1,Italy,,459
1986,Group C,Mexico City,Canada,0,1,France,,468
1986,Group D,Mexico City,Spain,0,1,Brazil,,439
1986,Group C,Mexico City,Soviet Union,6,0,Hungary,,610
1986,Group A,Mexico City,Argentina,3,1,Korea Republic,,395
1986,Group F,Mexico City,Morocco,0,0,Poland,,674
1986,Group D,Mexico City,Algeria,1,1,Northern Ireland,,379
1986,Group B,Mexico City,Belgium,1,2,Mexico,,428
1986,Group F,Mexico City,Portugal,1,0,England,,538
1986,Group B,Mexico City,Paraguay,1,0,Iraq,,628
1986,Group E,Mexico City,Scotland,0,1,Denmark,,517
1986,Group E,Mexico City,Uruguay,1,1,Germany FR,,585
1986,Group A,Mexico City,Italy,1,1,Argentina,,394
1986,Group C,Mexico City,France,1,1,Soviet Union,,571
1986,Group A,Mexico City,Korea Republic,1,1,Bulgaria,,460
1986,Group C,Mexico City,Hungary,2,0,Canada,,475
1986,Group D,Mexico City,Brazil,1,0,Algeria,,377
1986,Group F,Mexico City,England,0,0,Morocco,,533
1986,Group D,Mexico City,Northern Ireland,1,2,Spain,,551
1986,Group B,Mexico City,Mexico,1,1,Paraguay,,680
1986,Group F,Mexico City,Poland,1,0,Portugal,,701
1986,Group B,Mexico City,Iraq,1,2,Belgium,,427
1986,Group E,Mexico City,Denmark,6,1,Uruguay,,522
1986,Group E,Mexico City,Germany FR,2,1,Scotland,,580
1986,Group C,Mexico City,Hungary,0,3,France,,567
1986,Group C,Mexico City,Soviet Union,2,0,Canada,,476
1986,Group A,Mexico City,Korea Republic,2,3,Italy,,643
1986,Group A,Mexico City,Argentina,2,0,Bulgaria,,389
1986,Group B,Mexico City,Paraguay,2,2,Belgium,,429
1986,Group B,Mexico City,Iraq,0,1,Mexico,,627
1986,Group F,Mexico City,Portugal,1,3,Morocco,,675
1986,Group F,Mexico City,England,3,0,Poland,,537
1986,Group D,Mexico City,Northern Ireland,0,3,Brazil,,441
1986,Group D,Mexico City,Algeria,0,3,Spain,,378
1986,Group E,Mexico City,Scotland,0,0,Uruguay,,712
1986,Group E,Mexico City,Denmark,2,0,Germany FR,,512
1986,Round of 16,Mexico City,Soviet Union,3,4,Belgium,Belgium win after extra time,432
1986,Round of 16,Mexico City,Mexico,2,0,Bulgaria,,463
1986,Round of 16,Mexico City,Argentina,1,0,Uruguay,,398
1986,Round of 16,Mexico City,Brazil,4,0,Poland,,444
1986,Round of 16,Mexico City,Italy,0,2,France,,568
1986,Round of 16,Mexico City,Morocco,0,1,Germany FR,,574
1986,Round of 16,Mexico City,England,3,0,Paraguay,,536
1986,Round of 16,Mexico City,Denmark,1,5,Spain,,511
1986,Quarter-finals,Mexico City,Brazil,1,1,France,France win on penalties (3 - 4),440
1986,Quarter-finals,Mexico City,Germany FR,0,0,Mexico,Germany FR win on penalties (4 - 1),575
1986,Quarter-finals,Mexico City,Spain,1,1,Belgium,Belgium win on penalties (4 - 5),421
1986,Quarter-finals,Mexico City,Argentina,2,1,England,,392
1986,Semi-finals,Mexico City,France,0,2,Germany FR,,564
1986,Semi-finals,Mexico City,Argentina,2,0,Belgium,,388
1986,Match for third place,Mexico City,France,4,2,Belgium,France win after extra time,422
1986,Final,Mexico City,Argentina,3,2,Germany FR,,393
1990,Group B,Italy,Argentina,0,1,Cameroon,,26
1990,Group B,Italy,Soviet Union,0,2,Romania,,342
1990,Group D,Italy,"rn"">United Arab Emirates",0,2,Colombia,,119
1990,Group A,Italy,Italy,1,0,Austria,,42
1990,Group A,Italy,USA,1,5,Czechoslovakia,,355
1990,Group C,Italy,Brazil,2,1,Sweden,,75
1990,Group D,Italy,Germany FR,4,1,Yugoslavia,,201
1990,Group C,Italy,Costa Rica,1,0,Scotland,,127
1990,Group F,Italy,England,1,1,"rn"">Republic of Ireland",,161
1990,Group E,Italy,Belgium,2,0,Korea Republic,,57
1990,Group F,Italy,Netherlands,1,1,Egypt,,151
1990,Group E,Italy,Uruguay,0,0,Spain,,180
1990,Group B,Italy,Argentina,2,0,Soviet Union,,30
